G,T,M,P,Y_star,r_star
103.41622,142.36292,1.3124073,1.3478478,78.53279,38.292675
206.22546,98.10646,2.527984,0.94733536,173.35617,84.00956
158.50085,90.790634,0.7056217,1.4872439,139.26811,69.159615
84.26425,79.4755,2.3235507,1.2219651,93.12996,44.663483
177.93208,90.13309,1.595708,1.6169618,154.1614,76.093834
89.61481,124.30171,0.7141577,1.1889802,75.88219,37.34045
68.95042,98.85083,0.74681103,1.3852801,71.94153,35.431652
106.167175,142.76044,0.58026433,1.5488073,79.471565,39.36114
65.59849,97.113266,1.984239,0.69432724,73.604355,33.94439
95.407745,92.82711,1.2978904,1.3750758,93.99942,46.05585
299.9511,128.22258,1.1742955,1.9183369,224.4585,111.61709
198.60938,98.70622,2.9400058,1.7736953,166.21486,81.449844
213.51996,90.020355,1.369155,1.2966843,179.72824,88.80823
58.414463,116.711334,2.1716218,1.1181116,58.765793,27.440674
92.903275,139.43155,1.5299467,1.5601153,72.28975,35.16422
133.39302,112.47748,2.5038488,0.5904736,117.419525,54.469357
194.54639,134.81592,2.1230197,1.0241076,148.43066,72.14228
65.009834,132.40192,2.5415745,1.9005263,55.88807,26.606726
121.14087,114.13989,2.0763981,1.3465171,104.10074,50.508312
100.16643,117.38443,1.4760396,1.2402971,87.225624,42.422756
175.3464,116.13421,2.8547873,0.6596646,145.94368,68.6442
128.48709,105.18634,1.660886,0.76390433,114.08836,54.869972
166.33803,142.53682,1.0016958,1.3537226,123.06847,60.794273
90.29629,146.15703,2.1389902,0.6862314,70.597206,32.18159
89.20061,117.79943,1.5983174,1.0331211,79.725075,38.315456
102.074776,97.50307,0.8229609,0.8805291,96.7444,47.437588
132.21283,144.82971,1.9135183,1.4811323,98.49918,47.957664
76.33989,61.083973,1.4595635,1.3645756,94.16336,46.012077
279.80872,136.7392,1.2522105,0.5258506,208.94847,102.0929
150.19199,126.49128,1.1534173,1.4975415,118.455444,58.457516
282.5496,132.10681,1.2180498,1.1823795,210.9613,104.450485
213.94775,96.15822,1.2437968,0.88665473,177.8989,87.54663
69.150375,62.695103,1.8728236,1.8025008,88.293816,43.10789
261.5044,135.66695,2.957585,0.75624657,198.51855,95.3484
140.6069,78.13722,1.0173311,0.565901,133.8,65.10228
127.08424,113.155624,1.1668502,1.3317685,107.81656,53.032116
